@RELATION Weka

@ATTRIBUTE    charlength  REAL
@ATTRIBUTE    currencycount  REAL
@ATTRIBUTE    numstring  REAL
@ATTRIBUTE    freqword  REAL
@ATTRIBUTE    score   {ham,spam}

@data
129,0,2,1,spam
26,0,0,1,ham
31,0,0,1,ham
129,0,0,4,ham
34,0,0,1,ham
54,0,0,1,ham
162,0,0,4,ham
157,0,3,2,spam
23,0,0,1,ham
53,0,0,2,ham
131,0,0,2,ham
36,0,0,1,ham
143,0,0,2,ham
300,0,0,4,ham
59,0,0,1,ham
42,0,0,1,ham
41,0,1,1,ham
149,0,6,3,spam
22,0,1,1,ham
31,0,0,1,ham
30,0,0,1,ham
155,0,5,1,spam
47,0,0,1,ham
25,0,0,1,ham
80,0,0,2,ham
22,0,0,1,ham
115,0,0,4,ham
56,0,2,1,ham
102,0,0,1,ham
118,0,1,2,ham
221,0,0,4,ham
204,0,0,2,ham
114,0,0,1,ham
158,2,8,3,spam
39,0,0,1,ham
36,0,0,1,ham
48,0,0,1,ham
77,0,0,1,ham
60,0,0,2,ham
168,0,0,2,ham
51,0,0,1,ham
22,0,0,1,ham
152,0,0,3,ham
75,0,0,1,ham
30,0,0,1,ham
95,0,0,3,ham
24,0,0,1,ham
49,0,4,1,spam
35,0,0,1,ham
29,0,0,1,ham
107,1,3,1,spam
66,0,0,1,ham
159,0,10,2,spam
48,0,0,1,ham
162,0,4,1,spam
24,0,0,1,ham
137,1,4,1,spam
248,0,9,2,ham
25,0,0,2,ham
27,0,0,1,ham
37,0,0,2,ham
69,0,1,1,ham
150,0,0,2,ham
24,0,0,1,ham
80,0,0,2,ham
157,0,9,2,spam
25,0,0,1,ham
73,0,0,1,ham
89,0,0,3,ham
58,0,0,1,ham
36,0,0,1,ham
76,0,1,1,ham
47,0,0,2,ham
104,0,0,1,ham
38,0,0,1,ham
69,0,0,3,ham
22,0,0,1,ham
119,0,0,2,ham
94,0,0,1,ham
70,0,0,1,ham
73,0,0,2,ham
42,0,0,1,ham
17,0,1,1,ham
13,0,0,1,ham
45,0,0,1,ham
57,0,0,1,ham
105,0,0,2,ham
164,2,5,1,spam
47,0,0,1,ham
117,0,0,3,ham
158,0,0,3,ham
79,0,2,3,ham
142,0,0,2,ham
62,0,0,1,ham
71,0,0,1,ham
175,0,4,2,spam
29,0,0,1,ham
29,0,0,1,ham
148,0,0,2,ham
83,0,0,1,ham
37,0,0,1,ham
44,0,2,1,ham
45,0,0,1,ham
161,0,6,2,spam
50,0,0,1,ham
298,0,1,4,ham
159,0,6,2,spam
125,0,2,1,ham
51,0,0,1,ham
28,0,0,1,ham
34,0,0,1,ham
46,0,1,1,ham
81,0,0,2,ham
28,0,0,1,ham
90,0,0,1,ham
18,0,0,1,ham
54,0,0,1,ham
55,0,0,1,ham
45,0,1,1,ham
146,0,2,3,spam
40,0,0,1,ham
107,0,2,2,ham
50,0,0,1,ham
120,0,0,2,ham
160,0,10,1,spam
32,0,0,1,ham
34,0,0,1,ham
32,0,0,1,ham
16,0,0,1,ham
67,0,0,2,ham
55,0,0,2,ham
43,0,1,1,ham
23,0,0,1,ham
149,0,1,6,ham
21,0,0,1,ham
23,0,0,1,ham
40,0,0,1,ham
170,1,7,1,spam
117,0,1,2,ham
62,0,0,1,ham
166,0,0,2,ham
24,0,0,1,ham
136,0,9,1,ham
99,0,1,2,ham
45,0,0,1,ham
23,0,0,1,ham
25,0,0,1,ham
148,1,7,2,spam
26,0,0,1,ham
146,0,8,2,spam
89,0,0,2,spam
168,0,0,3,ham
117,0,0,2,ham
46,0,0,1,ham
26,0,0,1,ham
28,0,0,1,ham
32,0,0,1,ham
145,1,10,1,spam
57,0,1,1,ham
160,2,6,1,spam
42,0,0,1,ham
111,0,2,1,spam
36,0,0,1,ham
146,0,8,1,spam
50,0,0,1,ham
33,0,0,1,ham
15,0,0,1,ham
177,0,1,3,ham
160,0,0,2,ham
63,0,0,1,ham
84,0,0,1,ham
84,0,0,2,ham
57,0,0,1,ham
96,0,4,1,spam
169,0,0,2,ham
76,0,0,2,ham
47,0,1,1,ham
130,0,0,2,ham
23,0,0,1,ham
149,0,0,5,ham
32,0,0,1,ham
22,0,0,1,ham
101,0,1,2,ham
281,0,0,5,ham
54,0,0,1,ham
120,0,0,1,ham
138,0,0,3,ham
135,0,0,4,ham
66,0,0,1,ham
40,0,0,1,ham
40,0,0,1,ham
70,0,0,2,ham
160,0,0,2,ham
26,0,0,1,ham
32,0,1,1,ham
51,0,0,2,ham
160,1,5,1,spam
146,0,0,7,ham
103,0,2,1,ham
45,0,0,1,ham
142,0,0,2,ham
92,0,0,2,ham
26,0,0,1,ham
134,0,2,3,ham
37,0,0,1,ham
22,0,0,1,ham
22,0,0,1,ham
33,0,1,1,ham
69,0,5,1,spam
109,0,0,2,ham
36,0,2,1,ham
100,1,2,1,spam
140,0,0,2,ham
51,0,0,1,ham
46,0,0,1,ham
149,0,3,2,spam
63,0,0,1,ham
95,0,0,1,ham
69,0,1,1,ham
110,0,0,2,ham
51,0,0,1,ham
27,0,0,1,ham
34,0,0,1,ham
127,1,6,2,spam
142,0,4,1,spam
148,0,8,1,spam
24,0,0,1,ham
147,0,0,4,ham
24,0,0,1,ham
29,0,0,1,ham
86,0,3,1,spam
87,0,0,2,ham
38,0,0,1,ham
104,0,0,1,ham
59,0,0,1,ham
38,0,0,1,ham
38,0,0,1,ham
22,0,0,1,ham
25,0,0,1,ham
135,0,6,1,spam
87,0,0,2,ham
19,0,0,1,ham
66,0,0,1,ham
140,0,3,4,spam
156,0,1,2,ham
22,0,0,1,ham
107,0,3,2,ham
65,0,0,2,ham
145,0,1,3,ham
137,0,0,3,ham
25,0,0,1,ham
60,0,0,2,ham
103,0,0,2,ham
37,0,0,2,ham
58,0,0,1,ham
87,0,0,2,ham
58,0,0,1,ham
123,0,0,2,ham
67,0,1,1,ham
66,0,0,2,ham
102,0,1,1,ham
130,0,5,2,spam
150,2,4,2,spam
35,0,0,3,ham
8,0,0,1,ham
62,0,0,2,ham
58,0,0,1,ham
143,0,3,2,spam
20,0,0,1,ham
100,0,0,2,ham
51,0,0,2,ham
36,0,0,1,ham
53,0,0,1,ham
88,0,0,1,ham
133,0,0,2,ham
36,0,0,1,ham
37,0,0,1,ham
127,0,0,2,ham
92,0,0,2,ham
80,0,0,2,ham
136,0,7,1,spam
35,0,0,1,ham
97,0,8,1,spam
66,0,0,2,ham
119,0,0,1,ham
65,0,0,1,ham
26,0,0,1,ham
28,0,0,1,ham
45,0,0,1,ham
157,0,0,4,ham
36,0,0,1,ham
94,0,0,2,ham
59,0,3,1,spam
140,0,1,4,ham
22,0,0,1,ham
57,0,0,1,ham
43,0,0,1,ham
61,0,0,2,ham
56,0,0,1,ham
54,0,0,1,ham
37,0,0,1,ham
25,0,0,1,ham
21,0,0,1,ham
36,0,0,2,ham
93,0,2,2,spam
154,1,8,2,spam
153,0,0,4,ham
46,0,0,1,ham
34,0,0,2,ham
80,0,0,1,ham
69,0,1,1,ham
24,0,0,1,ham
108,0,0,1,ham
46,0,0,1,ham
30,0,2,1,ham
22,0,1,1,ham
158,0,6,3,spam
87,0,1,3,ham
30,0,0,1,ham
143,0,1,2,ham
169,0,0,3,ham
42,0,0,1,ham
111,0,2,1,spam
18,0,0,1,ham
109,0,6,1,ham
76,0,0,1,ham
73,0,0,1,ham
92,0,0,2,ham
36,0,0,1,ham
54,0,0,1,ham
78,0,0,2,ham
30,0,0,1,ham
40,0,0,1,ham
29,0,0,1,ham
22,0,0,1,ham
77,0,0,2,ham
109,0,0,2,ham
75,0,0,1,ham
76,0,0,2,ham
30,0,0,1,ham
49,0,1,1,ham
155,0,1,2,spam
160,0,5,1,spam
316,0,2,3,ham
195,0,0,3,ham
37,0,4,1,spam
125,0,0,3,ham
48,0,0,1,ham
39,0,0,1,ham
163,2,12,1,spam
121,0,1,1,ham
147,2,5,2,spam
162,0,0,3,ham
29,0,0,1,ham
38,0,0,1,ham
25,0,0,1,ham
40,0,0,1,ham
226,0,0,4,ham
70,0,0,1,ham
140,0,1,3,ham
47,0,1,1,ham
63,0,0,1,ham
17,0,0,1,ham
101,0,2,2,spam
41,0,0,1,ham
80,0,0,2,ham
137,0,0,3,ham
103,0,0,2,ham
29,0,0,1,ham
51,0,0,2,ham
149,1,5,1,spam
25,0,0,1,ham
149,0,0,2,ham
38,0,0,1,ham
62,0,0,1,ham
181,0,2,2,ham
34,0,0,1,ham
47,0,0,1,ham
40,0,1,1,ham
110,0,0,2,ham
132,1,4,2,spam
101,0,0,2,ham
42,0,0,1,ham
102,0,1,1,spam
65,0,0,1,spam
27,0,0,1,ham
31,0,0,1,ham
82,0,0,1,ham
23,0,0,1,ham
59,0,0,2,ham
133,0,0,3,ham
33,0,0,1,ham
95,0,0,1,ham
96,1,5,2,spam
135,0,0,3,ham
161,2,12,1,spam
151,0,0,3,ham
73,0,0,2,ham
151,2,6,2,spam
103,0,1,1,ham
22,0,0,1,ham
51,0,0,1,ham
137,0,0,1,ham
58,0,0,1,ham
89,0,1,1,ham
81,0,0,1,ham
57,0,0,1,ham
26,0,0,1,ham
32,0,0,1,ham
145,0,0,2,ham
118,0,0,2,ham
143,0,0,2,ham
23,0,0,1,ham
136,0,9,1,ham
94,0,2,3,ham
8,0,0,1,ham
99,0,3,1,spam
65,0,1,1,ham
71,0,0,1,ham
117,0,0,4,ham
129,0,1,2,spam
158,1,5,1,spam
28,0,0,1,ham
150,0,0,2,ham
31,0,1,1,ham
72,0,0,1,ham
70,0,0,3,ham
94,0,0,1,ham
48,0,0,1,ham
160,0,4,2,spam
94,0,0,2,ham
31,0,1,2,ham
39,0,0,1,ham
154,2,7,1,spam
71,0,0,2,ham
162,0,8,2,spam
143,2,8,2,spam
25,0,1,1,ham
22,0,1,1,ham
48,0,0,1,ham
33,0,0,1,ham
44,0,0,2,ham
47,0,0,1,ham
26,0,0,1,ham
112,0,0,2,ham
150,2,8,1,spam
19,0,0,1,ham
133,0,3,2,spam
48,0,0,1,ham
107,0,0,2,ham
38,0,0,1,ham
27,0,0,1,ham
125,0,2,2,ham
131,0,0,2,ham
23,0,0,1,ham
156,0,6,1,spam
161,0,6,2,spam
25,0,0,1,ham
42,0,0,2,ham
27,0,0,1,ham
22,0,0,1,ham
98,0,0,1,ham
89,0,0,2,ham
147,0,4,2,spam
130,0,2,2,ham
152,0,1,4,spam
215,0,0,3,ham
26,0,0,1,ham
66,0,0,1,ham
149,0,3,2,spam
372,1,0,4,ham
155,0,2,1,spam
162,2,7,1,spam
82,0,2,5,ham
73,0,0,1,ham
76,0,0,1,ham
153,0,9,2,spam
24,0,0,1,ham
231,0,0,2,ham
87,0,0,3,ham
72,0,0,1,ham
105,0,0,1,ham
160,2,6,1,spam
54,0,1,2,ham
58,0,0,2,ham
54,0,0,1,ham
114,0,1,2,ham
88,0,0,2,ham
144,0,1,2,spam
29,0,0,1,ham
136,0,0,2,ham
23,0,0,1,ham
39,0,0,1,ham
35,0,0,2,ham
24,0,0,1,ham
95,0,0,2,ham
73,0,0,1,ham
45,0,0,1,ham
161,1,4,2,spam
159,0,0,3,ham
149,0,8,1,spam
134,0,0,2,spam
154,0,3,2,spam
92,0,0,2,ham
102,0,0,1,ham
31,0,0,1,ham
77,0,0,2,ham
139,0,0,2,ham
158,2,7,1,spam
44,0,0,2,ham
137,1,3,1,spam
132,0,2,3,spam
143,0,3,3,spam
127,0,0,2,spam
276,0,1,6,ham
78,0,0,2,ham
27,0,0,1,ham
79,0,0,2,ham
24,0,0,1,ham
52,0,0,2,ham
68,0,0,2,ham
24,0,0,1,ham
44,0,0,1,ham
24,0,0,1,ham
55,0,0,1,ham
62,0,0,1,ham
104,0,1,3,ham
87,0,0,1,ham
148,0,0,4,ham
49,0,0,1,ham
154,0,0,2,ham
56,0,0,1,ham
158,0,6,3,spam
126,0,0,2,ham
43,0,0,1,ham
77,0,0,3,ham
49,0,0,1,ham
84,0,0,1,ham
49,0,0,1,ham
162,0,1,2,spam
79,0,0,1,ham
31,0,0,1,ham
155,0,7,2,spam
146,0,0,3,ham
23,0,0,1,ham
160,0,0,4,ham
62,0,0,1,ham
39,0,0,1,ham
67,0,0,2,ham
73,0,0,2,ham
148,0,0,3,ham
88,0,0,2,ham
37,0,0,1,ham
23,0,0,1,ham
56,0,0,1,ham
53,0,0,1,ham
73,0,0,1,ham
80,0,0,2,ham
44,0,0,1,ham
92,0,1,2,ham
35,0,0,1,ham
23,0,0,1,ham
140,1,9,2,spam
106,0,1,1,ham
103,0,0,2,ham
34,0,0,1,ham
77,0,0,1,ham
159,1,6,1,spam
26,0,0,1,ham
47,0,0,2,ham
24,0,0,1,ham
149,1,9,1,spam
133,0,0,2,ham
126,0,0,2,ham
78,0,0,1,ham
132,0,1,1,spam
116,0,0,2,ham
221,0,0,3,ham
59,0,0,2,ham
137,0,7,2,spam
143,0,0,2,ham
24,0,0,1,ham
38,0,0,1,ham
42,0,0,1,ham
24,0,0,1,ham
157,0,0,2,ham
47,0,0,1,ham
41,0,0,1,spam
122,0,2,1,ham
126,0,0,2,ham
26,0,0,1,ham
114,0,0,3,ham
7,0,0,1,ham
34,0,0,2,ham
157,1,4,1,spam
92,0,0,2,ham
90,0,0,2,ham
22,0,0,1,ham
85,0,0,2,ham
63,0,0,2,ham
220,0,0,3,ham
41,0,0,1,ham
60,0,3,1,ham
88,0,1,1,ham
31,0,0,1,ham
37,0,0,1,ham
28,0,0,1,ham
24,0,0,1,ham
118,0,1,2,ham
22,0,0,1,ham
210,0,0,3,ham
50,0,0,1,ham
49,0,0,1,ham
87,0,0,2,ham
61,0,0,2,ham
141,0,3,1,spam
54,0,0,2,ham
28,0,0,1,ham
49,0,0,1,ham
53,0,0,1,ham
145,0,0,3,ham
162,0,10,2,ham
53,0,0,1,ham
12,0,1,1,ham
142,0,2,3,ham
73,0,0,2,ham
129,0,0,3,ham
33,0,0,2,ham
47,0,0,1,ham
72,0,0,2,ham
148,0,0,2,ham
107,0,1,3,ham
41,0,0,1,ham
23,0,0,1,ham
149,2,7,1,spam
104,0,0,1,ham
45,0,0,1,ham
26,0,0,1,ham
37,0,0,2,ham
150,0,3,3,spam
132,0,2,3,ham
63,0,0,1,ham
108,0,0,1,ham
93,0,0,2,ham
43,0,0,1,ham
46,0,0,1,ham
56,0,0,1,ham
37,0,0,1,ham
124,0,0,1,ham
158,0,8,2,spam
38,0,0,1,ham
53,0,0,1,ham
31,0,0,1,ham
224,0,0,3,ham
156,0,5,1,spam
24,0,0,1,ham
24,0,0,1,ham
52,0,0,1,ham
48,0,0,2,ham
28,0,0,1,ham
43,0,0,1,ham
49,0,0,2,ham
26,0,0,1,ham
58,0,0,1,ham
17,0,0,1,ham
26,0,1,1,ham
127,0,0,3,ham
103,0,3,2,ham
157,0,0,4,ham
34,0,0,1,ham
128,0,0,3,ham
155,0,0,2,ham
51,0,0,2,ham
60,0,0,2,ham
30,0,0,1,ham
41,0,0,1,ham
103,0,1,2,ham
101,0,4,2,spam
19,0,0,1,ham
112,0,2,1,ham
104,0,3,2,spam
78,0,1,2,ham
135,0,3,2,spam
41,0,1,1,ham
46,0,1,1,ham
136,0,0,2,ham
46,0,0,1,ham
157,0,3,2,ham
24,0,0,1,ham
17,0,0,1,ham
20,0,1,1,ham
84,0,0,1,ham
153,1,6,1,spam
63,0,0,1,ham
155,0,1,3,ham
122,0,0,2,ham
143,0,2,2,spam
50,0,0,1,ham
25,0,1,1,ham
44,0,0,1,ham
65,0,0,2,ham
134,0,5,1,spam
21,0,0,1,ham
47,0,0,1,ham
157,1,4,1,spam
90,0,1,3,spam
135,0,0,2,ham
39,0,0,1,ham
83,0,0,2,ham
44,0,0,1,ham
28,0,0,1,ham
24,0,0,1,ham
67,0,1,2,ham
67,0,0,2,ham
33,0,0,1,ham
24,0,0,1,ham
119,0,0,4,ham
910,0,0,11,ham
158,0,3,4,ham
35,0,0,1,ham
24,0,0,1,ham
153,1,9,1,spam
53,0,0,1,ham
147,1,5,1,spam
72,0,0,2,ham
19,0,0,1,ham
188,0,0,3,ham
71,0,0,3,ham
23,0,0,1,ham
142,1,3,1,spam
160,0,0,2,ham
73,0,0,2,ham
106,0,0,1,ham
80,0,0,1,ham
105,0,0,1,ham
43,0,0,2,ham
68,0,1,2,ham
159,0,2,2,spam
32,0,0,1,ham
159,0,0,2,ham
140,0,0,2,ham
101,0,0,2,ham
31,0,0,1,ham
23,0,0,1,ham
58,0,1,1,ham
37,0,0,1,ham
61,0,0,1,ham
60,0,0,2,ham
54,0,0,1,ham
69,0,0,2,ham
70,1,4,1,spam
72,0,2,1,ham
156,0,6,2,spam
40,0,0,1,ham
153,0,3,2,spam
36,0,0,1,ham
35,0,0,1,ham
34,0,1,1,ham
156,0,7,2,spam
79,0,0,1,ham
121,0,0,4,ham
105,1,4,2,spam
64,0,0,1,ham
25,0,0,1,ham
22,0,0,1,ham
35,0,0,1,ham
156,0,1,2,ham
58,0,1,1,ham
31,0,0,1,ham
120,0,2,2,spam
24,0,0,1,ham
17,0,0,1,ham
152,0,0,3,ham
41,0,0,1,ham
158,0,7,2,spam
80,0,0,2,ham
85,0,0,2,ham
115,0,1,2,ham
115,0,2,1,spam
25,0,0,1,ham
45,0,0,1,ham
70,0,0,1,ham
22,0,0,1,ham
43,0,0,1,ham
22,0,0,1,ham
22,0,0,1,ham
140,1,9,3,spam
72,0,0,1,ham
91,0,0,1,ham
70,0,0,2,ham
140,0,0,2,ham
31,0,0,1,ham
52,0,1,1,ham
40,0,0,1,ham
23,0,0,1,ham
155,0,6,3,spam
145,0,0,3,ham
54,0,0,1,ham
43,0,0,1,ham
30,0,0,1,ham
39,0,0,1,ham
71,0,0,3,ham
146,0,1,2,ham
73,0,0,1,ham
159,0,3,2,spam
23,0,0,1,ham
26,0,0,1,ham
59,0,1,1,ham
150,0,2,3,ham
167,0,2,2,ham
26,0,0,1,ham
66,0,0,1,ham
35,0,0,1,ham
26,0,0,1,ham
26,0,0,1,ham
49,0,0,2,ham
38,0,0,1,ham
36,0,0,1,ham
18,0,0,1,ham
48,0,0,1,ham
68,0,0,2,ham
73,0,0,1,ham
49,0,0,1,ham
13,0,0,1,ham
63,0,0,1,ham
133,0,0,2,ham
155,1,5,2,spam
13,0,0,1,ham
49,0,2,1,spam
74,0,0,2,ham
48,0,0,1,ham
138,0,1,2,ham
164,0,0,3,ham
40,0,0,1,ham
20,0,0,1,ham
61,0,1,2,ham
61,0,0,1,ham
147,2,8,2,spam
130,0,0,2,ham
148,0,3,4,spam
37,0,0,1,ham
31,0,0,1,ham
27,0,0,1,ham
41,0,1,1,ham
49,0,0,1,ham
52,0,0,2,ham
124,0,0,2,ham
63,0,0,1,ham
85,0,0,1,ham
50,0,2,1,spam
70,0,0,2,ham
55,0,0,1,ham
119,0,1,2,ham
143,0,7,2,spam
22,0,0,1,ham
43,0,0,1,ham
46,0,0,1,ham
146,1,5,3,spam
75,0,1,2,ham
159,0,2,2,spam
43,0,0,1,ham
123,1,4,1,spam
31,0,0,1,ham
76,0,0,1,ham
51,0,0,2,ham
27,0,1,1,ham
34,0,0,1,ham
125,0,3,2,ham
136,0,9,1,ham
24,0,0,1,ham
33,0,0,1,ham
63,0,0,1,ham
96,0,0,3,ham
53,0,1,2,ham
59,0,0,1,ham
52,0,0,1,ham
45,0,0,1,ham
34,0,1,1,ham
53,0,0,1,ham
111,0,2,2,ham
60,0,0,1,ham
152,0,4,2,ham
55,0,0,1,ham
84,0,0,2,ham
